title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;Investigate further?;abstract viewed;promising papers for kalle;category
Mobile M2M communication architectures, upcoming challenges, applications, and future directions;Yasir Mehmood,    Carmelita Görg…;2015;https://link.springer.com/article/10.1186/s13638-015-0479-y;https://link.springer.com/content/pdf/10.1186%2Fs13638-015-0479-y.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;10;10;https://doi.org/10.1186/s13638-015-0479-y;y;y;y;Survey, Komplett auf MH
A Priority Heuristic Policy in Mobile Distributed Real-Time Database System;Prakash Kumar Singh,    Udai Shanker;2018;https://link.springer.com/chapter/10.1007/978-981-10-8360-0_20;https://link.springer.com/content/pdf/10.1007%2F978-981-10-8360-0_20.pdf;portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv;SpringerLink;12;10;https://doi.org/10.1007/978-981-10-8360-0_20;y;y;y;Transaction Scheduling, Macro, Weak
Exploring delay-aware transactions in heterogenous mobile environments,”;B Ayari, A Khelil, N Suri - Journal of Software, 2009 - pdfs.semanticscholar.org;2009;https://pdfs.semanticscholar.org/30df/4942277fc6fe5636ee55c585ace5b63eb77e.pdf;https://pdfs.semanticscholar.org/30df/4942277fc6fe5636ee55c585ace5b63eb77e.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;y;y;y;Survey, Thin Client Architektur, Weak, Distributed zwischen MH und FH
Perturbation-Resilient Atomic Commit Protocols for Mobile Environments;B Ayari - 2010 - tuprints.ulb.tu-darmstadt.de;2010;http://tuprints.ulb.tu-darmstadt.de/2274/;http://tuprints.ulb.tu-darmstadt.de/2274/1/TUD-BrahimAyari-PhDThesis.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;8;No DOI available;y;y;y;ACID, Protocols
On the design of perturbation-resilient atomic commit protocols for mobile transactions;B Ayari, A Khelil, N Suri - ACM Transactions on Computer Systems …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=2003691;https://www.tk.informatik.tu-darmstadt.de/fileadmin/user_upload/GROUP_DEEDS/Publications/Publication/ayari_acmtocs_2011.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;3;7;No DOI available;y;y;y;ACID, Protocols
GMTC: A generalized commit approach for hybrid mobile environments;B Ayari, A Khelil, N Suri - IEEE Transactions on Mobile …, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6319302/;http://www1.deeds.informatik.tu-darmstadt.de/External/PublicationData/0/TMC-GMTC.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;y;y;y;ACID, Infrastructure agnostic, Protocol, Weak
MCloudDB: A Mobile Cloud Database Service Framework;L Lei, S Sengupta, T Pattanaik… - Mobile Cloud Computing …, 2015 - ieeexplore.ieee.org;2015;https://ieeexplore.ieee.org/abstract/document/7130864/;https://www.researchgate.net/profile/Jerry_Gao/publication/273635400_MCloudDB_A_Mobile_Cloud_Database_Service_Framework/links/5509346b0cf27e990e0e0777/MCloudDB-A-Mobile-Cloud-Database-Service-Framework.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;y;y;;ACID, Mobile Cloud Computing, Full Client Architektur, Komplett auf MH
Enhanced CRA protocol for seamless connectivity in wireless networks;Elankayer Sithirasenan, Khosrow Ramezani, Vallipuram Muthukkumarasamy;2012;https://ieeexplore.ieee.org/document/6380852/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6380852;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;4;10.1109/ISCIT.2012.6380852;y;y;;Protocol, Macro
A P2P approach for automating seamless connectivity given intermittent bandwidth constraints;Vasanth Vallabh B Naib, Shrisha Rao;2011;https://ieeexplore.ieee.org/document/6042517/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6042517;seamless+connectivity+AND+mobile_IEEEXplore.csv;IEEEXplore;1;4;10.1109/CASE.2011.6042517;y;y;;Flexible Client-Server Architektur
Performance Analysis of Improved Cache Invalidation Scheme in Mobile Computing Environment;MJP JC, K Thanushkodi - IJCSNS, 2009 - pdfs.semanticscholar.org;2009;https://pdfs.semanticscholar.org/6db4/1e7617e3e065d2acccd01d9a5094be366729.pdf;https://pdfs.semanticscholar.org/6db4/1e7617e3e065d2acccd01d9a5094be366729.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;y;y;y;Full Client
Concurrency control in mobile environments: Issues & challenges;SA Moiz, SN Pal, J Kumar… - International …, 2011 - pdfs.semanticscholar.org;2011;https://pdfs.semanticscholar.org/b1f2/79f8d4f33f0b7fefcdb76b55282e3625c94f.pdf;https://pdfs.semanticscholar.org/b1f2/79f8d4f33f0b7fefcdb76b55282e3625c94f.pdf;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;y;y;y;Survey, Weak, ACID
An improved kangaroo transaction model using surrogate objects for distributed mobile system;S Ravimaran, MA Mohamed - … Data Engineering for Wireless and Mobile …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=1999319;No PDF available;Disconnection+handling+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;y;y;y;Disconnected, Distributed zwischen MH und FH
A fast concurrency control algorithm in embedded real-time database system;Xiaoyu Qi;2010;https://ieeexplore.ieee.org/document/5486030/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5486030;Embedded+systems+AND+mobile+transactions_IEEEXplore.csv;IEEEXplore;10;3;10.1109/ICCET.2010.5486030;y;y;y;Flexible Client-Server Architektur
A survey on vehicular cloud computing;M Whaiduzzaman, M Sookhak, A Gani… - Journal of Network and …, 2014 - Elsevier;2014;https://www.sciencedirect.com/science/article/pii/S1084804513001793;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.398.6908&rep=rep1&type=pdf;mobile+AND+cloud+computing+AND+transactions_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;y;y;y;Survey
An Efficient Delta Synchronization Algorithm for Mobile Cloud Storage Applications;Giwon Lee, Haneul Ko, Sangheon Pack;2015;https://ieeexplore.ieee.org/document/7321044/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7321044;mobile+AND+cloud+computing+AND+transactions_IEEEXplore.csv;IEEEXplore;1;2;10.1109/TSC.2015.2498168;y;y;;Flexible Client-Server Architektur
An energy-efficient mobile transaction processing method using random back-off in wireless broadcast environments;S Park, S Jung - Journal of Systems and Software, 2009 - Elsevier;2009;https://www.sciencedirect.com/science/article/pii/S0164121209001563;No PDF available;mobile+transaction+AND+execution_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;y;y;;Connected, Distributed zwischen MH und FH
Mobility Management Scheme for Context-Aware Transactions in Pervasive and Mobile Cyberspace;Muhammad Younas, Irfan Awan;2012;https://ieeexplore.ieee.org/document/6195011/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6195011;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;4;2;10.1109/TIE.2012.2198032;y;y;;Macro
A Generic Architecture Supporting Context-Aware Data and Transaction Management for Mobile Applications;Steffen Vaupel, Damian Wlochowitz, Gabriele Taentzer;2016;https://ieeexplore.ieee.org/document/7832973/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7832973;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;2;1;10.1109/MobileSoft.2016.035;y;y;;Macro, Disconnected
A mobile transaction processing system to improve concurrency in mobile database;M. Mohana, C. Jayakumar;2013;https://ieeexplore.ieee.org/document/6724253/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6724253;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;1;10.1109/ICCIC.2013.6724253;y;y;;Macro
Agent-Based Infrastructure for Data and Transaction Management in Mobile Heterogeneous Environment;Machigar Ongtang, Ali R. Hurson, Yu Jiao;2009;https://ieeexplore.ieee.org/document/4797269/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4797269;mobile+transaction+AND+execution_IEEEXplore.csv;IEEEXplore;1;1;10.1109/CMC.2009.321;y;y;;Client-Agent-Server Architektur
Connection Fault-Tolerant Model for distributed transaction processing in mobile computing environment;Tome Dimovski, Pece Mitrevski;2011;https://ieeexplore.ieee.org/document/5974011/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5974011;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;4;1;No DOI available;y;y;;Connected, Disconnected, Distributed zwischen MH und FH
A cloud based dual-root trust model for secure mobile online transactions;Li Li, Dijiang Huang, Zhidong Shen, Samia Bouzefrane;2013;https://ieeexplore.ieee.org/document/6555287/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6555287;Mobile+transaction+models_IEEEXplore.csv;IEEEXplore;4;1;10.1109/WCNC.2013.6555287;y;y;;Flexible Client-Server Architektur
A lazy commit protocol for mobile transactions;Sharvanath Pathak, Gautam Barua;2014;https://ieeexplore.ieee.org/document/6779363/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6779363;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/IAdCC.2014.6779363;y;y;;Doze
Design and analysis of a secure agent-based mobile bill payment protocol for bulk transactions;Pemika Limpittaya, Maykin Warasart, Supakorn Kungpisdan;2012;https://ieeexplore.ieee.org/document/6261928/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6261928;Mobile+transaction+protocols_IEEEXplore.csv;IEEEXplore;1;1;10.1109/JCSSE.2012.6261928;y;y;;Client-Agent-Server Architektur
Slack time scheduling for managing database transactions in mobile ad-hoc networks;B. Diwan, M. R Sumalatha;2013;https://ieeexplore.ieee.org/document/6844239/;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6844239;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_IEEEXplore.csv;IEEEXplore;16;1;10.1109/ICRTIT.2013.6844239;y;y;;MANET
Blocking reduction for distributed transaction processing within MANETs;Sebastian Obermeier,    Stefan Böttcher,    Martin Hett…;2009;https://link.springer.com/article/10.1007/s10619-009-7033-z;https://link.springer.com/content/pdf/10.1007%2Fs10619-009-7033-z.pdf;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;16;1;https://doi.org/10.1007/s10619-009-7033-z;y;y;;MANET
A cross-layer atomic commit protocol implementation for transaction processing in mobile ad-hoc networks;Sebastian Obermeier,    Stefan Böttcher,    Dominik Kleine;2009;https://link.springer.com/article/10.1007/s10619-009-7051-x;https://link.springer.com/content/pdf/10.1007%2Fs10619-009-7051-x.pdf;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;11;1;https://doi.org/10.1007/s10619-009-7051-x;y;y;y;ACID
Design and Implementation of Pessimistic Commit Protocols in Mobile Environments;Salman Abdul Moiz,    Lakshmi Rajamani…;2010;https://link.springer.com/chapter/10.1007/978-3-642-14478-3_61;No PDF available;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;10;0;https://doi.org/10.1007/978-3-642-14478-3_61;y;y;y;ACID
A new model for context-aware transactions in mobile services;Muhammad Younas,    Soraya Kouadri Mostéfaoui;2011;https://link.springer.com/article/10.1007/s00779-011-0369-1;https://link.springer.com/content/pdf/10.1007%2Fs00779-011-0369-1.pdf;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;12;0;https://doi.org/10.1007/s00779-011-0369-1;y;y;y;Macro
An Energy-Efficient Concurrency Control Algorithm for Mobile Ad-Hoc Network Databases;Zhaowen Xing,    Le Gruenwald;2011;https://link.springer.com/chapter/10.1007/978-3-642-23088-2_37;No PDF available;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;11;0;https://doi.org/10.1007/978-3-642-23088-2_37;y;y;y;MANET
Context-adaptive and energy-efficient mobile transaction management in pervasive environments;Feilong Tang,    Minglu Li;2012;https://link.springer.com/article/10.1007/s11227-009-0277-6;https://link.springer.com/content/pdf/10.1007%2Fs11227-009-0277-6.pdf;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;15;0;https://doi.org/10.1007/s11227-009-0277-6;y;y;y;Micro
Managing concurrent execution of transactions in mobile ad-hoc network database systems: an energy-efficient approach;Zhaowen Xing,    Le Gruenwald;2013;https://link.springer.com/article/10.1007/s10619-012-7114-2;https://link.springer.com/content/pdf/10.1007%2Fs10619-012-7114-2.pdf;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;11;0;https://doi.org/10.1007/s10619-012-7114-2;y;y;y;Distributed zwischen mehreren MHs
MiCATS: Middleware for Context-Aware Transactional Services;Widad Ettazi,    Hatim Hafiddi,    Mahmoud Nassar…;2015;https://link.springer.com/chapter/10.1007/978-3-319-29133-8_24;https://link.springer.com/content/pdf/10.1007%2F978-3-319-29133-8_24.pdf;Mobile+transactions+AND+(atomicity+OR+consistency+OR+isolation+OR+durability)_SpringerLink.csv;SpringerLink;19;0;https://doi.org/10.1007/978-3-319-29133-8_24;y;y;;Micro
