Emerging technologies to power next generation mobile electronic devices using solar energy,"Dewei Jia,    Yubo Duan,    Jing Liu",2009,https://link.springer.com/article/10.1007/s11708-009-0015-z,https://link.springer.com/content/pdf/10.1007%2Fs11708-009-0015-z.pdf,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,16,7,https://doi.org/10.1007/s11708-009-0015-z,n
Mobile Multimedia Systems,"Paul J. M. Havinga,    Gerard J. M. Smit",2002,https://link.springer.com/chapter/10.1007/978-1-4615-1497-8_15,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,18,9,https://doi.org/10.1007/978-1-4615-1497-8_15,n,abstract viewed
Application Adaptation Through Transparent and Portable Object Mobility in Java,"Caspar Ryan,    Christopher Westhorpe",2004,https://link.springer.com/chapter/10.1007/978-3-540-30469-2_29,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,15,No cite count available,https://doi.org/10.1007/978-3-540-30469-2_29,n
Dictionary German — English,Dipl.-Ing. Vittorio Ferretti,1996,https://link.springer.com/chapter/10.1007/978-3-642-80131-0_2,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,20,No cite count available,https://doi.org/10.1007/978-3-642-80131-0_2,n
A Transaction Processing Model for the Mobile Data Access System,"K. Segun,    A. R. Hurson,    A. Spink",2001,https://link.springer.com/chapter/10.1007/3-540-44743-1_11,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,12,10,https://doi.org/10.1007/3-540-44743-1_11,y
Mobile Computing,"Omran Bukhres,    Evaggelia Pitoura…",2003,https://link.springer.com/chapter/10.1007/978-3-540-24742-5_10,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,35,No cite count available,https://doi.org/10.1007/978-3-540-24742-5_10,y
Flat panel displays for portable systems,"Kalluri R. Sarma,    Tayo Akinwande",1996,https://link.springer.com/article/10.1007/BF01130404,https://link.springer.com/content/pdf/10.1007%2FBF01130404.pdf,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,10,5,https://doi.org/10.1007/BF01130404,n
Mobile Commerce and Ubiquitous Computing,"Efraim Turban,    David King,    Jae Kyu Lee,    Ting-Peng Liang…",2015,https://link.springer.com/chapter/10.1007/978-3-319-10091-3_6,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,21,No cite count available,https://doi.org/10.1007/978-3-319-10091-3_6,n,abstract viewed
Mobile Commerce and the Internet of Things,"Efraim Turban,    Judy Whiteside,    David King…",2017,https://link.springer.com/chapter/10.1007/978-3-319-50091-1_6,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,27,2,https://doi.org/10.1007/978-3-319-50091-1_6,n,abstract viewed
Support for Real-Time Decision Making in Mobile Financial Applications,"Frada Burstein,    Julie Cowie,    Arkady Zaslavsky…",2008,https://link.springer.com/chapter/10.1007/978-3-540-48716-6_5,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,22,1,https://doi.org/10.1007/978-3-540-48716-6_5,n
Mobile OS and Application Protocols,R. K. Ghosh,2017,https://link.springer.com/chapter/10.1007/978-981-10-3941-6_8,https://link.springer.com/content/pdf/10.1007%2F978-981-10-3941-6_8.pdf,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,25,No cite count available,https://doi.org/10.1007/978-981-10-3941-6_8,y,abstract viewed
P,André Heck,2004,https://link.springer.com/chapter/10.1007/978-0-306-48603-6_16,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,183,No cite count available,https://doi.org/10.1007/978-0-306-48603-6_16,n,abstract viewed
Research in Wireless and Mobile Computing,No author available,2002,https://link.springer.com/chapter/10.1007/0-306-47301-1_7,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,15,No cite count available,https://doi.org/10.1007/0-306-47301-1_7,y
Defining an Adaptable Mobile Transaction Service,Patricia Serrano-Alvarado,2002,https://link.springer.com/chapter/10.1007/3-540-36128-6_41,No PDF available,portable+device*+AND+transaction*+AND+mobile_SpringerLink.csv,SpringerLink,11,7,https://doi.org/10.1007/3-540-36128-6_41,y,abstract viewed
