title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;take
Method and apparatus for providing secure connectivity in mobile and other intermittent computing environments;E Sturniolo, A Stavens, J Savarese - US Patent 7,882,247, 2011 - Google Patents;2011;https://patents.google.com/patent/US7882247B2/en;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;9;474;No DOI available;
Making distributed transactions resilient to intermittent network connections;N Santos, P Ferreira - … Symposium on on World of Wireless, Mobile and …, 2006 - dl.acm.org;2006;https://dl.acm.org/citation.cfm?id=1139468;https://www.researchgate.net/profile/Paulo_Ferreira13/publication/221567295_Making_Distributed_Transactions_Resilient_to_Intermittent_Network_Connections/links/0deec518829a58f585000000/Making-Distributed-Transactions-Resilient-to-Intermittent-Network-Connections.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;11;No DOI available;y
Business models and transactions in mobile electronic commerce: requirements and properties;A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier;2001;https://www.sciencedirect.com/science/article/pii/S138912860100216X;http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;9;301;No DOI available;y
On the design of perturbation-resilient atomic commit protocols for mobile transactions;B Ayari, A Khelil, N Suri - ACM Transactions on Computer Systems …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=2003691;https://www.tk.informatik.tu-darmstadt.de/fileadmin/user_upload/GROUP_DEEDS/Publications/Publication/ayari_acmtocs_2011.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;3;10;No DOI available;y
Coverage and connectivity issues in wireless sensor networks;A Ghosh, SK Das - Mobile, wireless, and sensor networks …, 2005 - Wiley Online Library;2005;https://onlinelibrary.wiley.com/doi/abs/10.1002/0471755591.ch9;http://anrg.usc.edu/~amitabhag/papers/BookChapter-CoverageConnectivity-2006.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;3;444;No DOI available;y
Resilient and decentralized control of multi-level cooperative mobile networks to maintain connectivity under adversarial environment;J Chen, Q Zhu - Decision and Control (CDC), 2016 IEEE 55th …, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/abstract/document/7799062/;https://arxiv.org/pdf/1505.07158;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;13;No DOI available;y
Maintaining network connectivity and performance in robot teams;MA Hsieh, A Cowley, V Kumar… - Journal of Field …, 2008 - Wiley Online Library;2008;https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20221;https://onlinelibrary.wiley.com/doi/pdf/10.1002/rob.20221;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;146;No DOI available;
A survey of mobile cloud computing: architecture, applications, and approaches;HT Dinh, C Lee, D Niyato… - … and mobile computing, 2013 - Wiley Online Library;2013;https://onlinelibrary.wiley.com/doi/abs/10.1002/wcm.1203;https://onlinelibrary.wiley.com/doi/full/10.1002/wcm.1203;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;9;1831;No DOI available;
Improving the topological resilience of mobile ad hoc networks;TH Kim, D Tipper, P Krishnamurthy… - Design of Reliable …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5340008/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.361.1691&rep=rep1&type=pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;26;No DOI available;
Supporting secure communication and data collection in mobile sensor networks;L Zhou, J Ni, CV Ravishankar - INFOCOM 2006. 25th IEEE International …, 2006 - cs.ucr.edu;2006;http://www.cs.ucr.edu/~ravi/Papers/NWConf/mgke_infocom06.pdf;http://www.cs.ucr.edu/~ravi/Papers/NWConf/mgke_infocom06.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;4;133;No DOI available;y
Guest editorial introduction to the special section on m-health: Beyond seamless mobility and global wireless health-care connectivity;RSH Istepanian, E Jovanov… - IEEE Transactions on …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1362649/;http://eprints.kingston.ac.uk/1587/01/Istepanian-RSH-1587.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;3;778;No DOI available;
The influence of communication range on connectivity for resilient wireless sensor networks using a probabilistic approach;Y Huang, JF Martínez, J Sendra… - International Journal of …, 2013 - journals.sagepub.com;2013;http://journals.sagepub.com/doi/abs/10.1155/2013/482727;http://journals.sagepub.com/doi/full/10.1155/2013/482727;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;17;No DOI available;y
Connectivity, performance, and resiliency of IP-based CDMA radio access networks;T Bu, MC Chan, R Ramjee - IEEE transactions on mobile …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/1644753/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.133.2572&rep=rep1&type=pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;18;No DOI available;
FT-PPTC: An efficient and fault-tolerant commit protocol for mobile environments;B Ayari, A Khelil, N Suri - … Systems, 2006. SRDS'06. 25th IEEE …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/4032472/;http://webmail.deeds.informatik.tu-darmstadt.de/External/PublicationData/1/SRDS06_Presentation_final.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;17;No DOI available;y
NFV: state of the art, challenges, and implementation in next generation mobile networks (vEPC);H Hawilo, A Shami, M Mirahmadi, R Asal - IEEE Network, 2014 - ieeexplore.ieee.org;2014;https://ieeexplore.ieee.org/abstract/document/6963800/;https://arxiv.org/pdf/1409.4149;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;270;No DOI available;
MCloudDB: A Mobile Cloud Database Service Framework;L Lei, S Sengupta, T Pattanaik… - Mobile Cloud Computing …, 2015 - ieeexplore.ieee.org;2015;https://ieeexplore.ieee.org/abstract/document/7130864/;https://www.researchgate.net/profile/Jerry_Gao/publication/273635400_MCloudDB_A_Mobile_Cloud_Database_Service_Framework/links/5509346b0cf27e990e0e0777/MCloudDB-A-Mobile-Cloud-Database-Service-Framework.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;y
Overview of the mobile payments market 2002 through 2007;B Adrian - Gartner Research R-18-1818, 2002 - bus.umich.edu;1818;http://www.bus.umich.edu/KresgePublic/Journals/Gartner/research/111600/111627/111627.pdf;http://www.bus.umich.edu/KresgePublic/Journals/Gartner/research/111600/111627/111627.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;
Quantifying connectivity in wireless sensor networks with grid-based deployments;FM Al-Turjman, HS Hassanein, M Ibnkahla - Journal of Network and …, 2013 - Elsevier;2013;https://www.sciencedirect.com/science/article/pii/S1084804512001361;https://www.researchgate.net/profile/Fadi_Al-Turjman/publication/221081427_Quantifying_connectivity_of_grid-based_Wireless_Sensor_Networks_under_practical_errors/links/02e7e52b1807505d9c000000/Quantifying-connectivity-of-grid-based-Wireless-Sensor-Networks-under-practical-errors.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;51;No DOI available;
Resilient hybrid Mobile Ad-hoc Cloud over collaborating heterogeneous nodes;A Khalifa, M Azab, M Eltoweissy - 2014 International Conference on …, 2014 - computer.org;2014;https://www.computer.org/csdl/proceedings/collaboratecom/2014/043/00/07014558-abs.html;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.680.6172&rep=rep1&type=pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;
Resilient cluster-organizing key management and secure routing protocol for mobile ad hoc networks;HY Lin, YM Huang, TI Wang - IEICE transactions on …, 2005 - search.ieice.org;2005;https://search.ieice.org/bin/summary.php?id=e88-b_9_3598;http://ir.lib.ncku.edu.tw/bitstream/987654321/87751/2/3010800101013.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;y
Localized algorithm to improve connectivity and topological resilience of multi-hop wireless networks;TH Kim, D Tipper, P Krishnamurthy - Journal of information and …, 2013 - koreascience.or.kr;2013;http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=E1ICAW_2013_v11n2_69;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.898.1241&rep=rep1&type=pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;10;No DOI available;y
Mobile computing with the Rover toolkit;AD Joseph, JA Tauber… - IEEE Transactions on …, 1997 - ieeexplore.ieee.org;1997;https://ieeexplore.ieee.org/abstract/document/580429/;https://dspace.mit.edu/bitstream/handle/1721.1/46115/39134608-MIT.pdf?sequence=2;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;354;No DOI available;
Measuring the resilience of mobile ad hoc networks with human walk patterns;D Zhang, JPG Sterbenz - Reliable Networks Design and …, 2015 - ieeexplore.ieee.org;2015;https://ieeexplore.ieee.org/abstract/document/7325224/;https://www.researchgate.net/profile/Dongsheng_Zhang7/publication/306033166_Measuring_the_resilience_of_mobile_ad_hoc_networks_with_human_walk_patterns/links/5ab09577a6fdcc1bc0be1d6f/Measuring-the-resilience-of-mobile-ad-hoc-networks-with-human-walk-patterns.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;6;No DOI available;y
A new domain-based payment model for emerging mobile commerce scenarios;D Suarez, J Torres, M Carbonell… - Database and Expert …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4312987/;https://www.researchgate.net/profile/Mildrey_Carbonell/publication/4275814_A_new_domain-based_payment_model_for_emerging_mobile_commerce_scenarios/links/56a9e77c08aef6e05df36d1e.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;y
Exploring delay-aware transactions in heterogenous mobile environments,”;B Ayari, A Khelil, N Suri - Journal of Software, 2009 - pdfs.semanticscholar.org;2009;https://pdfs.semanticscholar.org/30df/4942277fc6fe5636ee55c585ace5b63eb77e.pdf;https://pdfs.semanticscholar.org/30df/4942277fc6fe5636ee55c585ace5b63eb77e.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;y
Quantifying connectivity of grid-based Wireless Sensor Networks under practical errors;MAT Fadi, SH Hossam… - Local Computer Networks …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5735706/;http://www.queenstrl.ca/uploads/4/6/3/1/4631596/quantifying_connectivity_of_grid-based_wireless_sensor_networks_under_practical_errors.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;y
Analyzing resilience to node misbehaviors in wireless multi-hop networks;F Xing, W Wang - Wireless Communications and Networking …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4224885/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.331.4636&rep=rep1&type=pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;y
Connectivity and critical point behavior in mobile ad hoc and sensor networks;TH Kim, D Tipper… - … and Communications, 2009 …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5202371/;https://www.researchgate.net/profile/David_Tipper/publication/221504591_Connectivity_and_critical_point_behavior_in_mobile_ad_hoc_and_sensor_networks/links/02bfe51392e124dd35000000.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;17;No DOI available;y
Resilient PUMA (Protocol for Unified Multicasting through Announcement) against Internal Attacks in Mobile Ad Hoc Networks;AM Pushpa, K Kathiravan - Advances in Computing …, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6637473/;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;y
Probabilistic key predistribution in mobile networks resilient to node-capture attacks;J Zhao - IEEE Transactions on Information Theory, 2017 - ieeexplore.ieee.org;2017;https://ieeexplore.ieee.org/abstract/document/7962239/;https://dr.ntu.edu.sg/bitstream/handle/10220/44208/Probabilistic%20Key%20Predistribution%20in%20Mobile%20Networks%20Resilient%20to%20Node-Capture%20Attacks.pdf?sequence=1&isAllowed=y;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;
Database replication for the mobile era;A Wolski - PROCEEDINGS OF THE INTERNATIONAL …, 2002 - pdfs.semanticscholar.org;2002;https://pdfs.semanticscholar.org/fedd/98907567206eabf37043c321037b417d8a1a.pdf;https://pdfs.semanticscholar.org/fedd/98907567206eabf37043c321037b417d8a1a.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;y
Evaluating temporal robustness of mobile networks;S Scellato, I Leontiadis, C Mascolo… - IEEE Transactions on …, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6086544/;http://www.cl.cam.ac.uk/~cm542/papers/tmc11.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;50;No DOI available;
On resilient event-driven partial barriers in mobile sensor networks;H Kim, J Ben-Othman - Communications (ICC), 2016 IEEE …, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/abstract/document/7510984/;http://people.uncw.edu/kimh/ICC2016.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;
Perturbation-Resilient Atomic Commit Protocols for Mobile Environments;B Ayari - 2010 - tuprints.ulb.tu-darmstadt.de;2010;http://tuprints.ulb.tu-darmstadt.de/2274/;http://tuprints.ulb.tu-darmstadt.de/2274/1/TUD-BrahimAyari-PhDThesis.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;2;No DOI available;y
Mobile emergency generator pre-positioning and real-time allocation for resilient response to natural disasters;S Lei, J Wang, C Chen, Y Hou - … Transactions on Smart Grid, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/7510984/;https://core.ac.uk/download/pdf/45607662.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;
Resilient key establishment for mobile sensor networks;K Karaca, A Levi - … in Sensor Systems and Workshops (DCOSS …, 2011 - ieeexplore.ieee.org;2011;https://ieeexplore.ieee.org/abstract/document/5982207/;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;2;No DOI available;y
Robust connectivity maintenance for fallible robots;J Panerati, M Minelli, C Ghedini, L Meyer… - Autonomous …, 2018 - Springer;2018;https://link.springer.com/article/10.1007/s10514-018-9812-8;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;
Resilient Consensus with Mobile Detectors Against Malicious Attacks;C Zhao, J He, J Chen - IEEE Transactions on Signal and …, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/8013830/;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;
A resiliency-connectivity metric in wireless sensor networks with key predistribution schemes and node compromise attacks;K Chan, F Fekri - Physical Communication, 2008 - Elsevier;2008;https://www.sciencedirect.com/science/article/pii/S1874490708000256;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;
On Resilience and Connectivity of Secure Wireless Sensor Networks Under Node Capture Attacks.;J Zhao - IEEE Trans. Information Forensics and Security, 2017 - ieeexplore.ieee.org;2017;https://ieeexplore.ieee.org/iel7/10206/4358835/07577836.pdf;https://sites.google.com/site/workofzhao/TIFS-resilience.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;15;No DOI available;
Intrusion-resilience in mobile unattended WSNs;R Di Pietro, G Oligeri, C Soriente… - … , 2010 Proceedings IEEE, 2010 - sprout.ics.uci.edu;2010;http://sprout.ics.uci.edu/projects/uwsnwebpage/publications/infocom10.pdf;http://sprout.ics.uci.edu/projects/uwsnwebpage/publications/infocom10.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;2;44;No DOI available;
Resilient messaging system and method;AS Krause - US Patent 8,135,642, 2012 - Google Patents;2012;https://patents.google.com/patent/US8135642B1/en;http://patentimages.storage.googleapis.com/pdfs/US8135642.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;21;No DOI available;
Stop, think, and roll: Online gain optimization for resilient multi-robot topologies;M Minelli, M Kaufmann, J Panerati, C Ghedini… - arXiv preprint arXiv …, 2018 - arxiv.org;2018;https://arxiv.org/abs/1809.07123;https://arxiv.org/pdf/1809.07123;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;
A new mobile business sales transaction system;MA Otair, AY Al-Zoubi - International Journal of Mobile …, 2008 - inderscienceonline.com;2008;https://www.inderscienceonline.com/doi/abs/10.1504/IJMLO.2008.020687;https://www.researchgate.net/profile/Abdallah_Al-Zoubi2/publication/229001311_A_new_Mobile_Business_Sales_Transaction_System/links/02e7e534cccdb5a812000000.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;
Improving connectivity and resilience using ECC based key predistribution for deployment knowledge based WSN;R Kishore, S Radha, L Chelyflar - WSEAS Transactions …, 2012 - pdfs.semanticscholar.org;2012;https://pdfs.semanticscholar.org/fe3f/972a0e39e86378228e8e536a9dcdc9c104a9.pdf;https://pdfs.semanticscholar.org/fe3f/972a0e39e86378228e8e536a9dcdc9c104a9.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;
GMTC: A generalized commit approach for hybrid mobile environments;B Ayari, A Khelil, N Suri - IEEE Transactions on Mobile …, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6319302/;http://www1.deeds.informatik.tu-darmstadt.de/External/PublicationData/0/TMC-GMTC.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;y
Rover: A toolkit for mobile information access;AD Joseph, AF de Lespinasse, JA Tauber… - ACM SIGOPS …, 1995 - dl.acm.org;1995;https://dl.acm.org/citation.cfm?id=224069;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;393;No DOI available;
Energy saving and network connectivity tradeoff in opportunistic mobile networks;H Zhou, H Zhao, J Chen - Global Communications Conference …, 2012 - ieeexplore.ieee.org;2012;https://ieeexplore.ieee.org/abstract/document/6503166/;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;12;No DOI available;
The role of IoT in network resilience;H Petersen, E Baccelli, M Wählisch, TC Schmidt… - 2014 - hal.inria.fr;2014;https://hal.inria.fr/hal-01010891/;https://hal.inria.fr/docs/01/01/08/91/PDF/RR-8552.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;y
Pairwise key distribution scheme for two-tier sensor networks;KK Gagneja - Computing, Networking and Communications …, 2014 - ieeexplore.ieee.org;2014;https://ieeexplore.ieee.org/abstract/document/6785489/;https://www.researchgate.net/profile/Kanwalinder_Gagneja/publication/271482191_Pairwise_key_distribution_scheme_for_two-tier_sensor_networks/links/596154cfaca2728c11e6f741/Pairwise-key-distribution-scheme-for-two-tier-sensor-networks.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;
On the resiliency of randomized routing against multiple edge failures;M Chiesa, A Gurtov, A Madry, S Mitrovic… - LIPIcs-Leibniz …, 2016 - drops.dagstuhl.de;2016;http://drops.dagstuhl.de/opus/volltexte/2016/6269/;http://drops.dagstuhl.de/opus/volltexte/2016/6269/pdf/LIPIcs-ICALP-2016-134.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;
A taxonomy of challenges to resilient message dissemination in VANETs;J Rak, M Jonsson, A Vinel - … Network Strategy and Planning …, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/abstract/document/7751164/;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;
Modelling attacks and challenges to wireless networks;D Zhang, SA Gogi, DS Broyles, EK Cetinkaya… - … and Control Systems …, 2012 - ittc.ku.edu;2012;http://www.ittc.ku.edu/resilinets/papers/Zhang-Gogi-Broyles-Cetinkaya-Sterbenz-2012-1.pdf;http://www.ittc.ku.edu/resilinets/papers/Zhang-Gogi-Broyles-Cetinkaya-Sterbenz-2012-1.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;
A Multi-Layer Feedback System Approach to Resilient Connectivity of Remotely Deployed Mobile Internet of Things;MJ Farooq, Q Zhu - IEEE Transactions on Cognitive …, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/8360491/;https://arxiv.org/pdf/1805.05824;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;y
A resilient cybersecurity framework for Mobile Financial Services (MFS);S Ambore, C Richardson, H Dogan… - Journal of Cyber …, 2017 - Taylor & Francis;2017;https://www.tandfonline.com/doi/abs/10.1080/23742917.2017.1386483;https://www.tandfonline.com/doi/full/10.1080/23742917.2017.1386483;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;y
Towards a Symbiotic Human and Multi-Robot Planetary Exploration System: Resilient Topologies for Space Exploration;M Kaufmann, J Panerati, G Beltrame - researchgate.net;No year available;https://www.researchgate.net/profile/Marcel_Kaufmann2/publication/325999790_Towards_a_Symbiotic_Human_and_Multi-Robot_Planetary_Exploration_System_Resilient_Topologies_for_Space_Exploration/links/5b32a1514585150d23d58628/Towards-a-Symbiotic-Human-and-Multi-Robot-Planetary-Exploration-System-Resilient-Topologies-for-Space-Exploration.pdf;https://www.researchgate.net/profile/Marcel_Kaufmann2/publication/325999790_Towards_a_Symbiotic_Human_and_Multi-Robot_Planetary_Exploration_System_Resilient_Topologies_for_Space_Exploration/links/5b32a1514585150d23d58628/Towards-a-Symbiotic-Human-and-Multi-Robot-Planetary-Exploration-System-Resilient-Topologies-for-Space-Exploration.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
Introduction to the Special Section From the IEEE GLOBECOM 2017 Conference;J Huang, Y Gao… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/8388606/;https://ieeexplore.ieee.org/iel7/6687307/8388569/08388606.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
A Survey on Secure and Resilient Session Schemes: Technical Comparison and Assessment;D Ahmat, D Magoni - ICST Transactions on Ubiquitous …, 2018 - hal.archives-ouvertes.fr;2018;https://hal.archives-ouvertes.fr/hal-01757540/;https://hal.archives-ouvertes.fr/hal-01757540/document;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
Cheating-Resilient Bandwidth Distribution in Mobile Cloud Computing;S Das, M Khatua, S Misra - … Transactions on Cloud Computing, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/iel7/6245519/6562694/07782411.pdf;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
RCAMP: A resilient communication-aware motion planner for mobile robots with autonomous repair of wireless connectivity;S Caccamo, R Parasuraman, L Freda… - … Robots and Systems …, 2017 - ieeexplore.ieee.org;2017;https://ieeexplore.ieee.org/abstract/document/8206020/;https://arxiv.org/pdf/1710.09303;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;
The Role of Handheld Computers in Controlling Inter-Organizational Data Transactions;GO Wiredu - ICIS 2009 Proceedings, 2009 - aisel.aisnet.org;2009;https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1039&context=icis2009;https://pdfs.semanticscholar.org/78ea/4e7d567b5cf2761e1ced833d40223e287d28.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
A survey on senegalese corporate information and technology infrastructure transformation on cloud services: The resilience of senegalese companies;FMA Dom, K Konate - 2017 IEEE International Conference on …, 2017 - ieeexplore.ieee.org;2017;https://ieeexplore.ieee.org/abstract/document/8392147/;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
Design of secure mobile payment protocols for restricted connectivity scenarios;JA Téllez Isaac - 2012 - upcommons.upc.edu;2012;https://upcommons.upc.edu/handle/2117/94695;https://upcommons.upc.edu/bitstream/handle/2117/94695/TJTI1de1.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;y
Analysis and Design of Highly Resilient Wireless and Sensor Networks;E Yeh - 2008 - dtic.mil;2008;http://www.dtic.mil/docs/citations/ADA500720;http://www.dtic.mil/get-tr-doc/pdf?AD=ADA500720;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;y
dHSS-Distributed Peer-to-Peer implementation of the LTE HSS based on the Bitcoin/Namecoin architecture;RP Jover, J Lackey - Communications Workshops (ICC), 2016 …, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/abstract/document/7503813/;http://rogerpiquerasjover.net/dHSS.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
An adaptive mechanism for improving resiliency in Wireless Sensor Networks;RK Verma, KK Pattanaik, S Bharti - Industrial and Information …, 2015 - ieeexplore.ieee.org;2015;https://ieeexplore.ieee.org/abstract/document/7399067/;https://www.researchgate.net/profile/Sourabh_Bharti3/publication/286451286_An_Adaptive_Mechanism_for_Improving_Resiliency_in_Wireless_Sensor_Networks/links/566feafe08ae486986b961f5/An-Adaptive-Mechanism-for-Improving-Resiliency-in-Wireless-Sensor-Networks.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;
The effect of multi-radio nodes on network connectivity--a graph theoretic analysis;A Faragó, S Basagni - … on Personal, Indoor and Mobile Radio …, 2008 - ieeexplore.ieee.org;2008;https://ieeexplore.ieee.org/abstract/document/5173153/;http://www.ece.neu.edu/fac-ece/basagni/papers/FaragoB08.pdf;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;19;No DOI available;
Skypoint for mobile hotspots;V Firoiu, SB LaPrise - US Patent 9,119,179, 2015 - Google Patents;2015;https://patents.google.com/patent/US9119179B1/en;No PDF available;Resilient+connectivity+AND+mobile+transactions_GoogleScholar.csv;GoogleScholar;1;88;No DOI available;
